site_width,template_id,box_width_left,box_width_right,side_box_left_width,side_box_right_width,active,date_added,module_six,module_two,module_one,module_five,module_four,module_three,template_name,last_modified,template_image,cart_in_header,main_table_border,customer_greeting,edit_greeting_guest,languages_in_header,include_column_left,include_column_right,show_header_link_buttons,template_cellpadding_sub,template_cellpadding_main,template_cellpadding_left,template_cellpadding_right,show_heading_title_original,edit_customer_greeting_personal,edit_customer_greeting_personal_relogon
776,2,165,140,5,5,1,2005-06-13 10:22:20,<blank>,featured.php,mainpage.php,<blank>,<blank>,<blank>,E-vector,2006-01-04 02:29:21,E-vector.gif,no,yes,yes,<blank>,no,yes,yes,yes,10,0,5,0,yes,<blank>,<blank>
776,3,150,150,8,12,1,2005-06-13 10:22:20,<blank>,featured.php,mainpage.php,<blank>,<blank>,<blank>,Helius,2006-09-05 20:47:09,Helius.gif,no,yes,yes,<blank>,no,yes,yes,yes,10,2,3,3,yes,<blank>,<blank>
776,4,155,155,5,5,1,2005-06-13 10:22:20,<blank>,featured.php,mainpage.php,<blank>,<blank>,<blank>,Pixame_v1,2006-01-04 02:28:43,Pixame_v1.gif,no,yes,yes,<blank>,no,yes,yes,yes,8,3,5,5,yes,<blank>,<blank>
100%,7,130,130,1,1,1,2006-01-12 21:29:47,<blank>,featured.php,mainpage.php,<blank>,<blank>,<blank>,Original,2006-09-06 00:20:45,Original.gif,no,yes,yes,<blank>,no,yes,yes,yes,8,3,3,3,yes,<blank>,<blank>
778,8,183,183,0,0,1,2006-09-05 23:52:05,<blank>,featured.php,<blank>,<blank>,<blank>,<blank>,001,2006-09-06 00:05:34,001.gif,no,yes,no,<blank>,no,yes,yes,no,0,0,0,0,no,<blank>,<blank>

