infobox_id,languages_id,box_heading
289,4,Reviews
289,5,Reviews
290,1,Specials
290,3,Specials
290,4,Specials
290,5,Specials
291,1,Quick Find
291,3,Quick Find
291,4,Quick Find
291,5,Quick Find
292,1,Manufacturers
292,3,Manufacturers
292,4,Manufacturers
292,5,Manufacturers
293,1,Manufacturers Info
293,3,Manufacturers Info
293,4,Manufacturers Info
293,5,Manufacturers Info
294,1,Notifications
294,3,Notifications
294,4,Notifications
294,5,Notifications
295,1,Tell A Friend
295,3,Tell A Friend
295,4,Tell A Friend
295,5,Tell A Friend
296,1,Latest products
296,3,Latest products
296,4,Latest products
296,5,Latest products
297,1,Shop by Price
297,3,Shop by Price
297,4,Shop by Price
297,5,Shop by Price
298,1,Featured
298,3,Featured
298,4,Featured
298,5,Featured
299,1,Affiliate Info
299,3,Affiliate Info
299,4,Affiliate Info
299,5,Affiliate Info
300,1,Links
300,3,Links
300,4,Links
300,5,Links
301,1,Who's Online
301,3,Who's Online
301,4,Who's Online
301,5,Who's Online
302,1,Google Ad
302,3,Google Ad
302,4,Google Ad
302,5,Google Ad
303,1,Shopping Cart
303,3,Shopping Cart
303,4,Shopping Cart
303,5,Shopping Cart
304,1,Gift Voucher
304,3,Gift Voucher
304,4,Gift Voucher
304,5,Gift Voucher
305,1,Your Account
305,3,Your Account
305,4,Your Account
305,5,Your Account
306,1,Best Sellers
306,3,Best Sellers
306,4,Best Sellers
306,5,Best Sellers
307,1,Order History
307,3,Order History
307,4,Order History
307,5,Order History
308,1,Languages
308,3,Languages
308,4,Languages
308,5,Languages
309,1,Currencies
309,3,Currencies
309,4,Currencies
309,5,Currencies
310,1,You Have a Download
310,3,You Have a Download
310,4,You Have a Download
310,5,You Have a Download
311,1,Donate
311,3,Donate
311,4,Donate
311,5,Donate
312,1,Cards We Accept
312,3,Cards We Accept
312,4,Cards We Accept
312,5,Cards We Accept
313,1,Advance Search
313,3,Advance Search
313,4,Advance Search
313,5,Advance Search
314,1,Wishlist
314,3,Wishlist
314,4,Wishlist
314,5,Wishlist
315,1,Advertise
315,3,Advertise
315,4,Advertise
315,5,Advertise
316,1,Example
316,3,Example
316,4,Example
316,5,Example

