products_id,customers_group_id,customers_group_price,customers_group_price1,customers_group_price3,customers_group_price2,customers_group_price7,customers_group_price6,customers_group_price9,customers_group_price8,customers_group_price5,customers_group_price4,customers_group_price11,customers_group_price10
28,1,20.0000,20.0000,20.0000,20.0000,15.0000,15.0000,15.0000,15.0000,15.0000,20.0000,15.0000,15.0000
6,1,29.9500,29.9500,24.9500,29.9500,19.9500,19.9500,19.9500,19.9500,19.9500,24.9500,19.9500,19.9500
1,1,199.9900,190.9900,170.9900,180.9900,150.9900,150.9900,150.9900,150.9900,150.9900,160.9900,140.9900,150.9900

